id,collegi,provincia,partito politico 
406,San Casciano in Val di Pesa,Firenze,monarchici
407,San Daniele del Friuli,Udine,monarchici
408,San Demetrio ne`Vestini,Aquila degli Abruzzi,monarchici
409,San Miniato,Firenze,monarchici
410,Sannazzaro de`Burgondi,Pavia,socialisti
411,Sannicandro Garganico,Foggia,radicali
412,San Pier d’Arena,Genova,socialisti
413,San Remo,Porto Maurizio,socialisti
414,San Severino Marche,Macerata,monarchici
415,San Severo,Foggia,radicali
416,Santa Maria Capua Vetere,Caserta,monarchici
417,Sant`Angelo de`Lombardi,Avellino,monarchici
418,Santarcangelo di Romagna,Forlì,monarchici
419,Santhià,Novara,socialisti
420,San Vito al Tagliamento,Udine,monarchici
421,Sassari,Sassari,monarchici
422,Sassuolo,Modena,radicali
423,Savigliano,Cuneo,radicali
424,Savona,Genova,monarchici
425,Scansano,Grosseto,monarchici
426,Schio,Vicenza,monarchici
427,Sciacca,Girgenti,monarchici
428,Senigallia,Ancona,clericali
429,Serradifalco,Caltanissetta,monarchici
430,Serramanna,Cagliari,monarchici
431,Serra San Bruno,Catanzaro,monarchici
432,Serrastretta,Catanzaro,monarchici
433,Sessa Aurunca,Caserta,monarchici
434,Siena,Siena,socialisti
435,Siracusa,Siracusa,monarchici
436,Sondrio,Sondrio,radicali
437,Sora,Caserta,monarchici
438,Soresina,Cremona,clericali
439,Spezia,Genova,radicali
440,Spezzano Grande,Cosenza,monarchici
441,Spilimbergo,Udine,clericali
442,Spoleto,Perugia,monarchici
443,Stradella,Pavia,socialisti
444,Subiaco,Roma,monarchici
445,Sulmona,Aquila degli Abruzzi,monarchici
446,Susa,Torino,monarchici
447,Taranto,Lecce,monarchici
448,Teano,Caserta,monarchici
449,Tempio Pausania,Sassari,radicali
450,Teramo,Teramo,socialisti
451,Termini Imerese,Palermo,monarchici
452,Terni,Perugia,repubblicani
453,Terranova di Sicilia,Caltanissetta,radicali
454,Thiene,Vicenza,clericali
455,Tirano,Sondrio,radicali
456,Tivoli,Roma,monarchici
457,Todi,Perugia,monarchici
458,Tolmezzo,Udine,monarchici
459,Torchiara,Salerno,monarchici
460,Torino I,Torino,monarchici
461,Torino II,Torino,socialisti
462,Torino III,Torino,socialisti
463,Torino IV,Torino,socialisti
464,Torino V,Torino,monarchici
465,Torre Annunziata,Napoli,socialisti
466,Tortona,Alessandria,monarchici
467,Trapani,Trapani,monarchici
468,Tregnago,Verona,monarchici
469,Trescore Balneario,Bergamo,monarchici
